commodity,model,date,forecast_price
Beras Premium,GRU,2025-11-14,15413.379149331877
Beras Premium,GRU,2025-11-15,15413.127875931805
Beras Premium,GRU,2025-11-16,15412.880465805141
Beras Premium,GRU,2025-11-17,15412.636909610248
Beras Premium,GRU,2025-11-18,15412.397132640606
Beras Premium,GRU,2025-11-19,15412.161066112403
Beras Premium,GRU,2025-11-20,15411.928645576965
Beras Premium,GRU,2025-11-21,15411.699809708243
Beras Premium,GRU,2025-11-22,15411.474499461438
Beras Premium,GRU,2025-11-23,15411.25265752929
Beras Premium,GRU,2025-11-24,15411.034228006865
Beras Premium,GRU,2025-11-25,15410.819156188467
Beras Premium,GRU,2025-11-26,15410.607388441007
Beras Premium,GRU,2025-11-27,15410.398872056967
Beras Premium,GRU,2025-11-28,15410.19355519574
Beras Premium,GRU,2025-11-29,15409.991386875543
Beras Premium,GRU,2025-11-30,15409.792316968824
Cabai Merah Besar,GRU,2025-11-01,40040.64909766195
Cabai Merah Besar,GRU,2025-11-02,39958.94863517191
Cabai Merah Besar,GRU,2025-11-03,39880.99348908079
Cabai Merah Besar,GRU,2025-11-04,39805.02918744999
Cabai Merah Besar,GRU,2025-11-05,39730.33482630148
Cabai Merah Besar,GRU,2025-11-06,39656.64872048299
Cabai Merah Besar,GRU,2025-11-07,39583.89340902881
Cabai Merah Besar,GRU,2025-11-08,39512.05441655125
Cabai Merah Besar,GRU,2025-11-09,39441.131724697814
Cabai Merah Besar,GRU,2025-11-10,39371.12324067422
Cabai Merah Besar,GRU,2025-11-11,39302.02177231127
Cabai Merah Besar,GRU,2025-11-12,39233.81574171062
Cabai Merah Besar,GRU,2025-11-13,39166.49087043085
Cabai Merah Besar,GRU,2025-11-14,39100.03158078417
Cabai Merah Besar,GRU,2025-11-15,39034.42190325775
Cabai Merah Besar,GRU,2025-11-16,38969.64597733028
Cabai Merah Besar,GRU,2025-11-17,38905.68815873019
Cabai Merah Besar,GRU,2025-11-18,38842.533504093706
Cabai Merah Besar,GRU,2025-11-19,38780.16736062139
Cabai Merah Besar,GRU,2025-11-20,38718.57550031867
Cabai Merah Besar,GRU,2025-11-21,38657.744090600114
Cabai Merah Besar,GRU,2025-11-22,38597.65966640769
Cabai Merah Besar,GRU,2025-11-23,38538.309106613015
Cabai Merah Besar,GRU,2025-11-24,38479.679731752825
Cabai Merah Besar,GRU,2025-11-25,38421.75902051736
Cabai Merah Besar,GRU,2025-11-26,38364.53468671521
Cabai Merah Besar,GRU,2025-11-27,38307.99486061673
Cabai Merah Besar,GRU,2025-11-28,38252.12789574872
Cabai Merah Besar,GRU,2025-11-29,38196.92243896806
Cabai Merah Besar,GRU,2025-11-30,38142.36739521862
Cabai Merah Keriting,GRU,2025-11-01,40043.971037655065
Cabai Merah Keriting,GRU,2025-11-02,39936.431127285665
Cabai Merah Keriting,GRU,2025-11-03,39825.854350510446
Cabai Merah Keriting,GRU,2025-11-04,39713.69655213086
Cabai Merah Keriting,GRU,2025-11-05,39601.02797119407
Cabai Merah Keriting,GRU,2025-11-06,39488.537192826145
Cabai Merah Keriting,GRU,2025-11-07,39376.67318132626
Cabai Merah Keriting,GRU,2025-11-08,39265.67695525753
Cabai Merah Keriting,GRU,2025-11-09,39155.67066200165
Cabai Merah Keriting,GRU,2025-11-10,39046.70718793609
Cabai Merah Keriting,GRU,2025-11-11,38938.80989701691
Cabai Merah Keriting,GRU,2025-11-12,38831.96688678956
Cabai Merah Keriting,GRU,2025-11-13,38726.16485010118
Cabai Merah Keriting,GRU,2025-11-14,38621.39533048558
Cabai Merah Keriting,GRU,2025-11-15,38517.63240023295
Cabai Merah Keriting,GRU,2025-11-16,38414.85793208955
Cabai Merah Keriting,GRU,2025-11-17,38313.054366283075
Cabai Merah Keriting,GRU,2025-11-18,38212.23068069332
Cabai Merah Keriting,GRU,2025-11-19,38112.345946081914
Cabai Merah Keriting,GRU,2025-11-20,38013.38368258628
Cabai Merah Keriting,GRU,2025-11-21,37915.32811298339
Cabai Merah Keriting,GRU,2025-11-22,37818.16401290452
Cabai Merah Keriting,GRU,2025-11-23,37721.87642472179
Cabai Merah Keriting,GRU,2025-11-24,37626.451630881216
Cabai Merah Keriting,GRU,2025-11-25,37531.875666932094
Cabai Merah Keriting,GRU,2025-11-26,37438.13488728985
Cabai Merah Keriting,GRU,2025-11-27,37345.21595496611
Cabai Merah Keriting,GRU,2025-11-28,37253.10583352714
Cabai Merah Keriting,GRU,2025-11-29,37161.7917794846
Cabai Merah Keriting,GRU,2025-11-30,37071.26133502093
Cabai Rawit Merah,GRU,2025-11-01,19184.755510298146
Cabai Rawit Merah,GRU,2025-11-02,19182.17548220372
Cabai Rawit Merah,GRU,2025-11-03,19179.687198305866
Cabai Rawit Merah,GRU,2025-11-04,19177.13177192774
Cabai Rawit Merah,GRU,2025-11-05,19174.39755542003
Cabai Rawit Merah,GRU,2025-11-06,19171.45678272027
Cabai Rawit Merah,GRU,2025-11-07,19168.329644476307
Cabai Rawit Merah,GRU,2025-11-08,19165.055228607685
Cabai Rawit Merah,GRU,2025-11-09,19161.673024376934
Cabai Rawit Merah,GRU,2025-11-10,19158.21620898949
Cabai Rawit Merah,GRU,2025-11-11,19154.710064407554
Cabai Rawit Merah,GRU,2025-11-12,19151.172746712135
Cabai Rawit Merah,GRU,2025-11-13,19147.616421542923
Cabai Rawit Merah,GRU,2025-11-14,19144.049810546952
Cabai Rawit Merah,GRU,2025-11-15,19140.478603019084
Cabai Rawit Merah,GRU,2025-11-16,19136.906174454325
Cabai Rawit Merah,GRU,2025-11-17,19133.335672992245
Cabai Rawit Merah,GRU,2025-11-18,19129.76765818817
Cabai Rawit Merah,GRU,2025-11-19,19126.202958591577
Cabai Rawit Merah,GRU,2025-11-20,19122.642258703007
Cabai Rawit Merah,GRU,2025-11-21,19119.085687886243
Cabai Rawit Merah,GRU,2025-11-22,19115.533782520757
Cabai Rawit Merah,GRU,2025-11-23,19111.98648433626
Cabai Rawit Merah,GRU,2025-11-24,19108.443849076277
Cabai Rawit Merah,GRU,2025-11-25,19104.90572038765
Cabai Rawit Merah,GRU,2025-11-26,19101.37209573056
Cabai Rawit Merah,GRU,2025-11-27,19097.84296916402
Cabai Rawit Merah,GRU,2025-11-28,19094.318333236923
Cabai Rawit Merah,GRU,2025-11-29,19090.798365166265
Cabai Rawit Merah,GRU,2025-11-30,19087.282887102778
Daging Ayam Ras,GRU,2025-11-01,36977.772600393204
Daging Ayam Ras,GRU,2025-11-02,36967.34007112089
Daging Ayam Ras,GRU,2025-11-03,36957.17529935284
Daging Ayam Ras,GRU,2025-11-04,36947.225421858486
Daging Ayam Ras,GRU,2025-11-05,36937.46253667927
Daging Ayam Ras,GRU,2025-11-06,36927.87316340795
Daging Ayam Ras,GRU,2025-11-07,36918.45009450819
Daging Ayam Ras,GRU,2025-11-08,36909.188783494916
Daging Ayam Ras,GRU,2025-11-09,36900.085712781176
Daging Ayam Ras,GRU,2025-11-10,36891.13772465458
Daging Ayam Ras,GRU,2025-11-11,36882.34276857775
Daging Ayam Ras,GRU,2025-11-12,36873.696899616436
Daging Ayam Ras,GRU,2025-11-13,36865.19711130979
Daging Ayam Ras,GRU,2025-11-14,36856.840446266775
Daging Ayam Ras,GRU,2025-11-15,36848.62400450076
Daging Ayam Ras,GRU,2025-11-16,36840.54494966052
Daging Ayam Ras,GRU,2025-11-17,36832.600512304285
Daging Ayam Ras,GRU,2025-11-18,36824.78799085173
Daging Ayam Ras,GRU,2025-11-19,36817.104751055995
Daging Ayam Ras,GRU,2025-11-20,36809.548224659564
Daging Ayam Ras,GRU,2025-11-21,36802.11590767131
Daging Ayam Ras,GRU,2025-11-22,36794.80535853362
Daging Ayam Ras,GRU,2025-11-23,36787.614218803086
Daging Ayam Ras,GRU,2025-11-24,36780.54015529202
Daging Ayam Ras,GRU,2025-11-25,36773.580901789115
Daging Ayam Ras,GRU,2025-11-26,36766.73424684407
Daging Ayam Ras,GRU,2025-11-27,36759.99803207614
Daging Ayam Ras,GRU,2025-11-28,36753.370150561415
Daging Ayam Ras,GRU,2025-11-29,36746.848545290784
Daging Ayam Ras,GRU,2025-11-30,36740.43120768935
Daging Sapi Paha Belakang,ARIMA,2025-11-01,122004.38596491228
Daging Sapi Paha Belakang,ARIMA,2025-11-02,122008.77192982455
Daging Sapi Paha Belakang,ARIMA,2025-11-03,122013.15789473683
Daging Sapi Paha Belakang,ARIMA,2025-11-04,122017.5438596491
Daging Sapi Paha Belakang,ARIMA,2025-11-05,122021.92982456138
Daging Sapi Paha Belakang,ARIMA,2025-11-06,122026.31578947365
Daging Sapi Paha Belakang,ARIMA,2025-11-07,122030.70175438593
Daging Sapi Paha Belakang,ARIMA,2025-11-08,122035.0877192982
Daging Sapi Paha Belakang,ARIMA,2025-11-09,122039.47368421048
Daging Sapi Paha Belakang,ARIMA,2025-11-10,122043.85964912275
Daging Sapi Paha Belakang,ARIMA,2025-11-11,122048.24561403503
Daging Sapi Paha Belakang,ARIMA,2025-11-12,122052.6315789473
Daging Sapi Paha Belakang,ARIMA,2025-11-13,122057.01754385958
Daging Sapi Paha Belakang,ARIMA,2025-11-14,122061.40350877185
Daging Sapi Paha Belakang,ARIMA,2025-11-15,122065.78947368413
Daging Sapi Paha Belakang,ARIMA,2025-11-16,122070.1754385964
Daging Sapi Paha Belakang,ARIMA,2025-11-17,122074.56140350868
Daging Sapi Paha Belakang,ARIMA,2025-11-18,122078.94736842095
Daging Sapi Paha Belakang,ARIMA,2025-11-19,122083.33333333323
Daging Sapi Paha Belakang,ARIMA,2025-11-20,122087.7192982455
Daging Sapi Paha Belakang,ARIMA,2025-11-21,122092.10526315778
Daging Sapi Paha Belakang,ARIMA,2025-11-22,122096.49122807005
Daging Sapi Paha Belakang,ARIMA,2025-11-23,122100.87719298233
Daging Sapi Paha Belakang,ARIMA,2025-11-24,122105.2631578946
Daging Sapi Paha Belakang,ARIMA,2025-11-25,122109.64912280688
Daging Sapi Paha Belakang,ARIMA,2025-11-26,122114.03508771915
Daging Sapi Paha Belakang,ARIMA,2025-11-27,122118.42105263143
Daging Sapi Paha Belakang,ARIMA,2025-11-28,122122.8070175437
Daging Sapi Paha Belakang,ARIMA,2025-11-29,122127.19298245598
Daging Sapi Paha Belakang,ARIMA,2025-11-30,122131.57894736825
Gula Pasir Curah,GRU,2025-11-01,15999.980289005043
Gula Pasir Curah,GRU,2025-11-02,15999.969748317893
Gula Pasir Curah,GRU,2025-11-03,15999.959026808812
Gula Pasir Curah,GRU,2025-11-04,15999.948233157827
Gula Pasir Curah,GRU,2025-11-05,15999.937435693846
Gula Pasir Curah,GRU,2025-11-06,15999.926678769656
Gula Pasir Curah,GRU,2025-11-07,15999.915991497877
Gula Pasir Curah,GRU,2025-11-08,15999.905392907782
Gula Pasir Curah,GRU,2025-11-09,15999.894895239611
Gula Pasir Curah,GRU,2025-11-10,15999.884506147764
Gula Pasir Curah,GRU,2025-11-11,15999.874230201995
Gula Pasir Curah,GRU,2025-11-12,15999.864069912663
Gula Pasir Curah,GRU,2025-11-13,15999.85402642707
Gula Pasir Curah,GRU,2025-11-14,15999.84409999843
Gula Pasir Curah,GRU,2025-11-15,15999.83429029892
Gula Pasir Curah,GRU,2025-11-16,15999.824592644289
Gula Pasir Curah,GRU,2025-11-17,15999.815007446061
Gula Pasir Curah,GRU,2025-11-18,15999.805533521358
Gula Pasir Curah,GRU,2025-11-19,15999.796169650455
Gula Pasir Curah,GRU,2025-11-20,15999.786914596541
Gula Pasir Curah,GRU,2025-11-21,15999.777767118467
Gula Pasir Curah,GRU,2025-11-22,15999.76872597862
Gula Pasir Curah,GRU,2025-11-23,15999.759789947613
Gula Pasir Curah,GRU,2025-11-24,15999.750957806966
Gula Pasir Curah,GRU,2025-11-25,15999.742228350575
Gula Pasir Curah,GRU,2025-11-26,15999.73360038546
Gula Pasir Curah,GRU,2025-11-27,15999.725072732095
Gula Pasir Curah,GRU,2025-11-28,15999.716644224505
Gula Pasir Curah,GRU,2025-11-29,15999.708313710224
Gula Pasir Curah,GRU,2025-11-30,15999.700080050203
